State,Population_Density,College_Educated_Share,11,21,22,23,31-33,42,44-45,48-49,51,52,53,54,55,56,61,62,71,72,81,99
Nebraska,14.43013394,0.426568652,0.000601802134,0.000384838222,0.000395747023,0.031839757,0.0598584038,0.0243241998,0.0656552189,0.0199861337,0.0135826681,0.0378783838,0.00766221992,0.0249708493,0.0123275501,0.0251241785,0.0114396949,0.0847577398,0.00829856658,0.0470417759,0.0220375941,1.88E-05
Nevada,25.63573961,0.320072035,0.000116386493,0.00530907662,0.00173371576,0.0392278864,0.024642927,0.0172835956,0.0637725494,0.026000501,0.00799683944,0.0166718618,0.0123152213,0.0269130677,0.0101175705,0.0369219035,0.00635695778,0.0574639182,0.0132414806,0.117912808,0.015717412,6.20E-05
New Hampshire,136.2996042,0.406344928,0.000512513131,0.00014392492,0.00241425278,0.0282742261,0.0592874137,0.0196009945,0.0823118906,0.0150612164,0.0117562087,0.022745403,0.00720502193,0.0317714262,0.00770086083,0.0234193928,0.0204706871,0.0850429537,0.0109909494,0.0520516761,0.0191841388,2.02E-05
New Jersey,1065.096985,0.416498433,0.000153900352,0.000171695515,0.00265870852,0.0234815513,0.0306129627,0.0361222339,0.0637716069,0.0305961407,0.0111682719,0.0260661596,0.00903841336,0.0453683501,0.0165358769,0.0310935711,0.0152327983,0.0852217291,0.00824597252,0.0435380899,0.0208485623,4.62E-05
New Mexico,13.30896455,0.266641193,0.000297096621,0.0100524364,0.00351230669,0.0346401848,0.0237028649,0.0153673428,0.0745856663,0.0160640383,0.00694373262,0.0183375082,0.00760439223,0.0459602868,0.00473512755,0.0260331915,0.00679398311,0.102355792,0.00932050559,0.0720751598,0.0209793458,4.56E-05
New York,339.7542663,0.36006686,0.000172311368,0.000143864327,0.00248585778,0.0227934104,0.0257945731,0.0193736877,0.0545402448,0.0173743119,0.0203982824,0.0322345695,0.0111023034,0.040695371,0.0117984413,0.0279395677,0.0255077217,0.107934964,0.00979198509,0.0461192316,0.02366493,5.39E-05
North Carolina,170.0392612,0.31836348,0.00057076329,0.000267309984,0.00229773639,0.0294809028,0.0586292369,0.0242082448,0.0655110258,0.0215962623,0.0107103455,0.0257587682,0.00804992096,0.0326228619,0.012868403,0.029975991,0.0131170139,0.0794162904,0.00819913766,0.0559719498,0.020545847,2.18E-05
North Dakota,6.187077428,0.393759218,0.00035819422,0.0187826213,0.00503127427,0.0342150731,0.0415219341,0.0331826309,0.069605565,0.0239598822,0.00923328377,0.0249245986,0.00796003877,0.0232344637,0.00800067425,0.0180903131,0.0062563587,0.0941764844,0.00843110932,0.0499801338,0.0213622216,4.67E-05
Ohio,220.2068219,0.294810037,0.000105750115,0.000840935046,0.00228692539,0.0222799239,0.0724193041,0.0233119902,0.058456595,0.0243169329,0.00891804862,0.0240391541,0.00705148521,0.0274999902,0.0196600229,0.0282483675,0.0116006399,0.0903109148,0.00793790759,0.0500134721,0.0205453899,1.14E-05
Oklahoma,36.86762329,0.290158934,0.000362728475,0.00962517805,0.00353035522,0.0276820893,0.0472080888,0.0211893253,0.0707566637,0.0217557573,0.00845520833,0.0211669861,0.00731136415,0.0270440961,0.0168983005,0.0293374639,0.0082090982,0.0839890591,0.00989362741,0.061831953,0.0231544201,2.50E-05
Oregon,38.08647171,0.333855429,0.00433607908,0.000425730815,0.00245293284,0.0349874717,0.0537092065,0.0229168231,0.0660976974,0.0217983985,0.0111710662,0.018207425,0.0100060534,0.0322648174,0.0164530095,0.0276924256,0.0105458028,0.0831885368,0.00832366576,0.0542940117,0.0210088502,3.13E-05
Pennsylvania,261.0522647,0.30369531,0.000257422848,0.0016598449,0.00255843792,0.0235248128,0.0514491327,0.0217608604,0.0604885856,0.0254754978,0.00968962002,0.0255719855,0.00629676117,0.0313908986,0.0169135258,0.0257958075,0.0236560948,0.101118798,0.00918202696,0.0416601791,0.0214776402,1.93E-05
Rhode Island,676.8330097,0.445918138,0.000177482258,0.000142681815,0.00165186101,0.0242686687,0.0469875577,0.0211134286,0.0593405548,0.0149096697,0.00745193479,0.0351113266,0.00632208042,0.0270167437,0.0115815873,0.0254263634,0.0327912971,0.0973739586,0.0095678017,0.0585993054,0.0201123358,3.48E-05
